날짜,시가,고가,저가,종가,거래량,등락률
2023-09-14,71600,72000,68400,69800,610687,-1.8284106891701828
2023-09-15,70400,71800,70000,70500,506040,1.002865329512894
2023-09-18,71400,73400,70700,71500,313486,1.4184397163120568
2023-09-19,72400,72400,69600,70100,257939,-1.9580419580419581
2023-09-20,70500,70600,67000,67600,529139,-3.566333808844508
2023-09-21,67000,67400,65500,65600,336074,-2.9585798816568047
2023-09-22,65000,67700,63400,67200,342166,2.4390243902439024
2023-09-25,67400,67500,65900,66300,173709,-1.3392857142857142
2023-09-26,66000,66000,64400,64500,160691,-2.7149321266968327
2023-09-27,64200,67000,64000,66300,221199,2.7906976744186047
2023-10-04,65600,66000,63700,63700,223846,-3.9215686274509802
2023-10-05,64300,64300,61000,61200,417034,-3.924646781789639
2023-10-06,61200,61700,60000,60100,229379,-1.7973856209150325
2023-10-10,61400,61600,60700,61100,217373,1.6638935108153077
2023-10-11,61500,61700,60900,61400,181339,0.4909983633387889
2023-10-12,61400,61600,60900,61200,256563,-0.32573289902280134
2023-10-13,60600,61200,60400,60800,133155,-0.6535947712418301
2023-10-16,61200,61700,60700,60900,168804,0.1644736842105263
2023-10-17,61400,61800,60700,60800,122609,-0.16420361247947454
2023-10-18,61200,62800,61200,62600,236620,2.9605263157894735
2023-10-19,62000,62400,60700,61100,206646,-2.3961661341853033
2023-10-20,61200,61300,60300,60500,155904,-0.9819967266775778
2023-10-23,60100,60500,59600,59700,158373,-1.322314049586777
2023-10-24,60200,60300,58700,59400,183855,-0.5025125628140703
2023-10-25,59500,61100,59400,60800,152887,2.356902356902357
2023-10-26,60800,60900,58700,59000,266550,-2.9605263157894735
2023-10-27,59000,59800,58700,58700,156659,-0.5084745762711864
2023-10-30,58900,59100,58200,58800,151922,0.17035775127768313
2023-10-31,59300,60000,56900,57400,250319,-2.380952380952381
2023-11-01,57900,58000,57300,57500,108316,0.17421602787456447
2023-11-02,58400,59100,58100,58300,124024,1.391304347826087
2023-11-03,59000,59200,58400,59000,107051,1.2006861063464835
2023-11-06,59700,60500,59100,60500,201265,2.5423728813559325
2023-11-07,60000,60400,59200,59600,112881,-1.487603305785124
2023-11-08,59500,59800,58500,59100,188029,-0.8389261744966443
2023-11-09,58700,59800,58700,59200,126628,0.1692047377326565
2023-11-10,58800,59400,58700,59100,65615,-0.16891891891891891
2023-11-13,59600,59600,58000,58100,213645,-1.6920473773265652
2023-11-14,58600,59200,58300,58700,140023,1.0327022375215147
2023-11-15,59600,60200,59100,60200,164081,2.555366269165247
2023-11-16,60200,60200,59200,59700,122733,-0.8305647840531563
2023-11-17,59500,59600,59100,59300,145056,-0.6700167504187605
2023-11-20,59400,60500,59300,60200,112164,1.5177065767284992
2023-11-21,60500,60800,59800,60200,149623,0.0
2023-11-22,59900,61300,59700,61000,163218,1.3289036544850499
2023-11-23,61300,61900,60800,60900,141224,-0.16393442622950818
2023-11-24,60800,61300,60700,60900,90527,0.0
2023-11-27,61200,62500,60800,62200,240402,2.134646962233169
2023-11-28,62600,62600,61000,61500,182939,-1.1254019292604502
2023-11-29,61500,61800,60800,61000,189907,-0.8130081300813009
2023-11-30,61000,61100,60100,60300,554867,-1.1475409836065573
2023-12-01,60400,61000,60100,60800,257594,0.8291873963515755
2023-12-04,60900,61100,60500,60500,105812,-0.4934210526315789
2023-12-05,60300,61700,60300,61200,194132,1.1570247933884297
2023-12-06,61500,61700,60800,60800,178229,-0.6535947712418301
2023-12-07,60600,61600,60300,61200,166749,0.6578947368421052
2023-12-08,61500,61500,60700,61300,111081,0.16339869281045752
2023-12-11,61500,61600,60600,60800,122476,-0.8156606851549755
2023-12-12,61000,61700,60700,61400,166882,0.9868421052631579
2023-12-13,61400,61700,61000,61500,125227,0.16286644951140067
2023-12-14,61800,62000,61000,61300,195202,-0.3252032520325203
2023-12-15,61400,61900,61100,61100,264937,-0.3262642740619902
2023-12-18,61100,61400,60900,61300,107625,0.32733224222585927
2023-12-19,61300,62000,61300,61900,155772,0.9787928221859705
2023-12-20,62000,64500,62000,64200,447228,3.715670436187399
2023-12-21,63700,64600,62900,64100,277092,-0.1557632398753894
2023-12-22,64600,64700,63300,64300,251820,0.31201248049922
2023-12-26,64500,64700,63600,64300,371639,0.0
2023-12-27,61900,62300,60000,61000,502726,-5.132192846034215
2023-12-28,61100,63500,60700,63300,245220,3.7704918032786887
2024-01-02,62600,63100,61800,62600,141887,-1.1058451816745656
2024-01-03,62100,62500,61600,61900,136125,-1.1182108626198082
2024-01-04,61500,63500,61400,63500,223990,2.5848142164781907
2024-01-05,63000,63400,62100,62700,129383,-1.2598425196850394
2024-01-08,63300,64100,62700,63000,137250,0.4784688995215311
2024-01-09,63700,63700,62800,63200,97965,0.31746031746031744
2024-01-10,63300,63600,62600,62800,138130,-0.6329113924050633
2024-01-11,63200,64500,62900,63600,321584,1.2738853503184715
2024-01-12,63200,65900,63200,64300,382354,1.10062893081761
2024-01-15,65200,68300,64900,67700,602411,5.287713841368585
2024-01-16,67200,68100,66500,67100,176874,-0.8862629246676514
2024-01-17,67600,68300,65300,65700,275243,-2.086438152011923
2024-01-18,66000,67500,65900,66600,229705,1.36986301369863
2024-01-19,67200,67500,64900,66500,236988,-0.15015015015015015
2024-01-22,66600,67200,65400,65600,130977,-1.3533834586466165
2024-01-23,65900,66500,64700,66100,201177,0.7621951219512195
2024-01-24,66100,67500,65600,67200,184551,1.6641452344931922
2024-01-25,67500,67700,66500,67400,155977,0.2976190476190476
2024-01-26,67000,67800,66700,67100,128307,-0.44510385756676557
2024-01-29,66900,68600,65300,68100,304376,1.4903129657228018
2024-01-30,68700,71000,68000,68300,463350,0.2936857562408223
2024-01-31,68400,71800,67200,71400,485301,4.538799414348463
2024-02-01,71300,73000,70500,72000,587237,0.8403361344537815
2024-02-02,71500,71700,68300,70400,583504,-2.2222222222222223
2024-02-05,69900,75300,68400,73600,724338,4.545454545454546
2024-02-06,72500,74300,70000,71000,291293,-3.532608695652174
2024-02-07,70600,73000,69600,71600,275524,0.8450704225352111
2024-02-08,72500,73600,70700,71600,258414,0.0
2024-02-13,72800,73600,70000,71100,358833,-0.6983240223463687
2024-02-14,70300,71900,69500,69800,204118,-1.8284106891701828
2024-02-15,70600,70700,66500,68000,341293,-2.5787965616045847
2024-02-16,68700,72000,68000,71100,307780,4.5588235294117645
2024-02-19,71400,73500,71300,72200,226880,1.5471167369901548
2024-02-20,72300,73400,71200,71700,229530,-0.6925207756232686
2024-02-21,72100,72200,68100,69500,342904,-3.0683403068340307
2024-02-22,70300,70400,68400,68900,209959,-0.8633093525179856
2024-02-23,69300,70500,68500,69300,249778,0.5805515239477503
2024-02-26,69500,69700,67300,69400,222609,0.1443001443001443
2024-02-27,69400,69400,67800,68200,193068,-1.729106628242075
2024-02-28,68200,71600,68200,70800,194769,3.812316715542522
2024-02-29,70100,71400,70000,70700,182233,-0.14124293785310735
2024-03-04,71200,71200,69500,69500,161526,-1.6973125884016973
2024-03-05,68900,70400,68700,69000,122874,-0.7194244604316548
2024-03-06,68800,69500,68100,68400,168750,-0.8695652173913043
2024-03-07,68900,70800,67800,69800,212147,2.046783625730994
2024-03-08,70600,70600,68300,69000,176133,-1.146131805157593
2024-03-11,68400,68900,67800,68400,160753,-0.8695652173913043
2024-03-12,69000,69000,66600,67200,220143,-1.7543859649122806
2024-03-13,67600,67600,65000,65900,459938,-1.9345238095238095
2024-03-14,66500,70700,66100,69300,560948,5.159332321699544
2024-03-15,70000,71900,69600,70500,419476,1.7316017316017316
2024-03-18,71200,71700,70000,70700,203897,0.28368794326241137
2024-03-19,70300,71000,68700,68900,193219,-2.545968882602546
2024-03-20,69600,71100,69200,70300,156298,2.0319303338171264
2024-03-21,70600,70900,69400,70100,202085,-0.2844950213371266
2024-03-22,69500,70400,68600,68900,196894,-1.7118402282453637
2024-03-25,68900,68900,67200,68100,211380,-1.1611030478955007
2024-03-26,68800,68800,67600,68700,183571,0.881057268722467
2024-03-27,69100,69700,68200,69200,263525,0.727802037845706
2024-03-28,68800,69700,68400,68900,160140,-0.4335260115606936
2024-03-29,69400,72800,69400,71900,454704,4.354136429608127
2024-04-01,72700,72900,69000,70500,187133,-1.9471488178025034
2024-04-02,69900,71300,69800,70300,144956,-0.28368794326241137
2024-04-03,70300,71900,70000,70400,204957,0.1422475106685633
2024-04-04,70200,70700,69200,70200,217649,-0.2840909090909091
2024-04-05,69700,72000,69700,71200,227575,1.4245014245014245
2024-04-08,71000,72100,70700,71200,154552,0.0
2024-04-09,71700,71700,69700,70100,163178,-1.544943820224719
2024-04-11,68300,69200,66600,68400,395803,-2.4251069900142657
2024-04-12,68200,68800,66700,67400,280766,-1.461988304093567
2024-04-15,67600,69000,66800,68000,187002,0.8902077151335311
2024-04-16,67300,67800,64500,64900,361938,-4.5588235294117645
2024-04-17,65200,65400,61100,61100,526248,-5.855161787365177
2024-04-18,61300,61700,61000,61100,355205,0.0
2024-04-19,61000,61200,59400,60500,333626,-0.9819967266775778
2024-04-22,61400,63900,61000,62400,282102,3.1404958677685952
2024-04-23,62800,66100,62600,64700,347430,3.685897435897436
2024-04-24,65100,65300,63900,64900,186143,0.3091190108191654
2024-04-25,64200,66000,64100,65200,237255,0.46224961479198773
2024-04-26,65600,65700,64400,65200,177731,0.0
2024-04-29,65700,69200,65300,68500,387279,5.061349693251533
2024-04-30,68500,68700,66900,67400,209825,-1.6058394160583942
2024-05-02,66800,67200,64300,64300,291758,-4.599406528189911
2024-05-03,64700,64800,63300,64200,181042,-0.15552099533437014
2024-05-07,64800,65100,64000,64400,220869,0.3115264797507788
2024-05-08,64700,67400,63600,66500,378157,3.260869565217391
2024-05-09,66800,66900,64400,64700,322890,-2.706766917293233
2024-05-10,65400,66200,64900,66000,146516,2.009273570324575
2024-05-13,66500,68500,66100,68100,272383,3.1818181818181817
2024-05-14,67900,68000,67200,67700,154309,-0.5873715124816447
2024-05-16,68400,68900,67800,68500,221338,1.1816838995568686
2024-05-17,67900,68700,67500,68100,138485,-0.583941605839416
2024-05-20,68600,68900,67300,67700,124735,-0.5873715124816447
2024-05-21,67000,68200,67000,68200,179834,0.7385524372230428
2024-05-22,68200,68200,66300,67100,217510,-1.6129032258064515
2024-05-23,66400,69400,66100,68800,277101,2.533532041728763
2024-05-24,68100,68800,66500,68500,270779,-0.436046511627907
2024-05-27,68600,68600,67200,67500,205870,-1.4598540145985401
2024-05-28,67400,68600,66700,68500,282573,1.4814814814814816
2024-05-29,67900,70800,67800,69600,423450,1.6058394160583942
2024-05-30,69700,70500,68000,68500,312401,-1.5804597701149428
2024-05-31,69300,70300,67800,68700,490272,0.291970802919708
2024-06-03,69300,70700,68300,69900,232875,1.7467248908296942
2024-06-04,70300,70800,68200,69000,325665,-1.2875536480686696
2024-06-05,69200,69400,67000,67000,267362,-2.898550724637681
2024-06-07,66700,68800,66700,68100,244900,1.6417910447761193
2024-06-10,67600,68100,67100,67500,150707,-0.881057268722467
2024-06-11,67600,69600,67600,69100,260696,2.3703703703703702
2024-06-12,69200,70100,69000,69400,218637,0.43415340086830684
2024-06-13,69500,70000,68700,69300,257998,-0.1440922190201729
2024-06-14,68900,70000,68600,68700,144989,-0.8658008658008658
2024-06-17,69100,69400,68500,69100,142671,0.5822416302765648
2024-06-18,69400,69500,68300,68300,201985,-1.1577424023154848
2024-06-19,68900,70800,68700,70000,285962,2.4890190336749636
2024-06-20,70000,71200,69600,71200,228911,1.7142857142857144
2024-06-21,71100,72900,71100,72400,345022,1.6853932584269662
2024-06-24,72500,73600,71500,72400,211309,0.0
2024-06-25,73100,74000,72400,74000,246058,2.209944751381215
2024-06-26,73700,73800,72500,73300,156347,-0.945945945945946
2024-06-27,72400,74000,71500,73300,249931,0.0
2024-06-28,73400,74500,72600,74500,225242,1.6371077762619373
2024-07-01,74200,74400,73000,73900,180289,-0.8053691275167786
2024-07-02,73200,74100,72300,74000,160278,0.13531799729364005
2024-07-03,74300,75400,73900,75000,230794,1.3513513513513513
2024-07-04,75500,75500,73600,74600,186904,-0.5333333333333333
2024-07-05,74700,74700,72100,72500,230982,-2.8150134048257374
2024-07-08,72100,73200,71800,72700,104317,0.27586206896551724
2024-07-09,73300,73700,72000,73200,114740,0.6877579092159559
2024-07-10,72400,74000,72400,73300,142726,0.1366120218579235
2024-07-11,73900,77300,73600,77000,478670,5.0477489768076405
2024-07-12,77000,77500,75900,76400,153793,-0.7792207792207793
2024-07-15,77100,77700,76000,76100,160770,-0.3926701570680628
2024-07-16,77000,81000,76700,79900,490016,4.993429697766097
2024-07-17,81200,82500,78900,79400,268545,-0.6257822277847309
2024-07-18,80500,81500,79400,80700,253308,1.63727959697733
2024-07-19,80500,80500,78300,79300,163465,-1.734820322180917
2024-07-22,80000,80100,78200,79300,140662,0.0
2024-07-23,78800,81400,78500,80500,184128,1.5132408575031526
2024-07-24,80500,82800,79800,80500,156985,0.0
2024-07-25,79500,80000,78400,78900,175129,-1.9875776397515528
2024-07-26,80000,84300,79500,80900,423228,2.5348542458808616
2024-07-29,81300,83400,80500,82000,185041,1.3597033374536465
2024-07-30,81300,82500,80300,81600,180530,-0.4878048780487805
2024-07-31,81900,84900,81400,83900,253257,2.8186274509803924
2024-08-01,83100,85000,82800,83500,182599,-0.47675804529201427
2024-08-02,82500,83300,81500,82800,196586,-0.8383233532934131
2024-08-05,81700,81700,75000,76800,397727,-7.246376811594203
2024-08-06,79100,81600,77000,78800,294292,2.604166666666667
2024-08-07,78900,81100,78400,79700,203166,1.1421319796954315
2024-08-08,79000,81000,77700,80200,224097,0.6273525721455459
2024-08-09,80800,81600,79700,81200,133614,1.2468827930174564
2024-08-12,82000,82300,80400,81100,91017,-0.12315270935960591
2024-08-13,80300,81400,80000,81000,86316,-0.12330456226880394
2024-08-14,81000,81800,79700,81800,130384,0.9876543209876543
2024-08-16,82600,83000,80900,81400,140199,-0.4889975550122249
2024-08-19,81400,83200,80800,81500,117975,0.12285012285012285
2024-08-20,82800,84000,82200,83100,191607,1.96319018404908
2024-08-21,83900,83900,81800,82900,91607,-0.24067388688327318
2024-08-22,82900,82900,81000,81600,137863,-1.5681544028950543
2024-08-23,81600,82400,80500,81900,70456,0.3676470588235294
2024-08-26,81900,82300,81000,82000,86007,0.1221001221001221
2024-08-27,82400,83400,81400,83000,108049,1.2195121951219512
2024-08-28,83000,83100,80200,81500,128190,-1.8072289156626504
2024-08-29,82100,82100,79800,80900,118986,-0.7361963190184049
2024-08-30,80900,80900,79600,80900,185885,0.0
2024-09-02,80300,80800,77600,78600,180360,-2.843016069221261
2024-09-03,78400,80200,78000,79900,159039,1.653944020356234
2024-09-04,78900,79000,77300,77900,160945,-2.5031289111389237
2024-09-05,77800,78300,75900,76600,146612,-1.6688061617458279
2024-09-06,77200,77600,75800,77400,87988,1.0443864229765014
2024-09-09,76200,77300,75900,76700,73400,-0.9043927648578811
2024-09-10,77600,79700,76700,79200,106624,3.259452411994785
2024-09-11,79200,79400,76300,77300,94435,-2.398989898989899
2024-09-12,77400,77400,75100,77100,256769,-0.258732212160414
2024-09-13,77100,79100,76500,78700,97842,2.075226977950713
2024-09-19,80700,81800,78500,81400,195080,3.430749682337993
2024-09-20,81100,82700,80600,82700,296703,1.597051597051597
2024-09-23,82500,83000,80200,80200,124758,-3.0229746070133015
2024-09-24,81100,82200,80600,82000,131141,2.2443890274314215
2024-09-25,82800,83200,80600,81900,227822,-0.12195121951219512
2024-09-26,82000,82800,81600,82800,171597,1.098901098901099
2024-09-27,82700,82800,77100,77100,305634,-6.884057971014493
2024-09-30,77900,78700,76400,76500,164855,-0.7782101167315175
2024-10-02,76000,77700,75600,77700,135397,1.5686274509803921
2024-10-04,77600,78000,77100,77900,73700,0.2574002574002574
2024-10-07,77200,77700,75800,76800,145131,-1.4120667522464698
2024-10-08,76900,77600,76100,77300,114021,0.6510416666666667
2024-10-10,79000,79100,77400,78600,209461,1.6817593790426906
2024-10-11,79500,79800,77700,78100,127574,-0.6361323155216284
2024-10-14,78100,79800,77500,79500,120996,1.792573623559539
2024-10-15,79900,81800,79300,81100,188904,2.0125786163522013
2024-10-16,80000,81500,79900,81000,140762,-0.12330456226880394
2024-10-17,81200,81800,80600,81500,93181,0.6172839506172839
2024-10-18,81900,82100,79300,81100,95973,-0.49079754601227
2024-10-21,80700,81100,78300,78500,167282,-3.2059186189889024
2024-10-22,78600,80800,78500,80700,145057,2.802547770700637
2024-10-23,80900,82400,79800,81100,115633,0.49566294919454773
2024-10-24,81700,82800,80800,82000,157901,1.1097410604192355
2024-10-25,81700,82300,80300,80800,111614,-1.4634146341463417
2024-10-28,81800,81800,79600,81000,129423,0.24752475247524752
2024-10-29,80200,81300,79800,81300,88952,0.3703703703703704
2024-10-30,81000,81000,78900,79300,188722,-2.4600246002460024
2024-10-31,79000,80000,78300,79800,175852,0.6305170239596469
2024-11-01,79800,80300,75500,76000,240982,-4.761904761904762
2024-11-04,75600,75900,71100,72200,463339,-5.0
2024-11-05,72200,73000,71500,71800,179554,-0.554016620498615
2024-11-06,72500,72500,71400,72000,134343,0.2785515320334262
2024-11-07,71500,76300,71400,75200,300120,4.444444444444445
2024-11-08,76100,76200,73400,73700,149329,-1.9946808510638299
2024-11-11,73900,76100,73800,75400,129609,2.3066485753052914
2024-11-12,75200,76800,75100,75300,150575,-0.1326259946949602
2024-11-13,74600,75900,73800,75200,128541,-0.13280212483399734
2024-11-14,75800,76000,74500,75700,177543,0.6648936170212766
2024-11-15,76000,76400,74600,75700,133574,0.0
2024-11-18,75000,77400,74900,77100,121314,1.8494055482166447
2024-11-19,76500,78400,76500,76900,152056,-0.25940337224383914
2024-11-20,76600,77800,76000,77200,91624,0.3901170351105332
2024-11-21,77500,81500,77400,79600,230663,3.1088082901554404
2024-11-22,80400,80400,79300,79700,99330,0.12562814070351758
2024-11-25,80900,81100,79800,80600,268402,1.1292346298619824
2024-11-26,79800,80800,79500,80100,94490,-0.620347394540943
2024-11-27,79500,80600,78900,79500,105999,-0.7490636704119851
2024-11-28,79700,79700,78200,78700,101587,-1.0062893081761006
2024-11-29,79200,79300,77100,77800,106810,-1.1435832274459974
2024-12-02,78900,78900,76700,77000,89452,-1.0282776349614395
2024-12-03,78000,80300,77800,79700,131829,3.506493506493506
2024-12-04,79200,79300,77400,78000,144059,-2.132998745294856
2024-12-05,78100,79700,77800,78200,88912,0.2564102564102564
2024-12-06,78300,78800,75600,77200,159281,-1.278772378516624
2024-12-09,76400,76800,74600,76600,223749,-0.7772020725388601
2024-12-10,77300,78300,76600,77500,127890,1.1749347258485638
2024-12-11,77500,80000,77000,79200,146524,2.193548387096774
2024-12-12,79700,79700,77400,77800,256616,-1.7676767676767675
2024-12-13,77800,79000,77300,78500,119963,0.8997429305912596
2024-12-16,79300,79700,78500,78800,126141,0.3821656050955414
2024-12-17,78200,81500,78200,79800,251787,1.2690355329949239
2024-12-18,80500,82000,79500,79700,126526,-0.12531328320802004
2024-12-19,79000,80800,78700,79100,146533,-0.7528230865746549
2024-12-20,78700,81400,78700,79000,161623,-0.12642225031605564
2024-12-23,79300,81700,79200,81400,166583,3.0379746835443036
2024-12-24,81400,81800,80200,80500,96059,-1.1056511056511056
2024-12-26,80800,83900,80200,82600,246990,2.608695652173913
2024-12-27,82000,82300,79700,80200,118264,-2.9055690072639226
2024-12-30,80200,80500,79000,79200,120315,-1.2468827930174564
2025-01-02,80000,86600,79400,85600,401852,8.080808080808081
2025-01-03,85200,86900,83500,84200,254032,-1.6355140186915886
2025-01-06,84200,84200,81600,81900,170211,-2.7315914489311166
2025-01-07,82100,83500,81700,82400,116149,0.6105006105006106
2025-01-08,81700,82900,80400,82000,129541,-0.48543689320388345
2025-01-09,81300,84000,81000,82800,233549,0.975609756097561
2025-01-10,82300,84200,81800,82600,177525,-0.24154589371980675
2025-01-13,82300,84200,82200,83800,172518,1.4527845036319613
2025-01-14,84100,85300,83000,83100,124809,-0.8353221957040573
2025-01-15,83600,85600,83300,84100,143085,1.203369434416366
2025-01-16,85300,85300,83500,84200,118710,0.11890606420927466
2025-01-17,83800,85500,83100,85000,185441,0.9501187648456058
2025-01-20,85800,86000,84000,84400,119714,-0.7058823529411765
2025-01-21,85100,85600,83500,84900,136872,0.5924170616113744
2025-01-22,85600,85700,84300,84400,107270,-0.5889281507656066
2025-01-23,85100,85600,83100,83300,120309,-1.3033175355450237
2025-01-24,83700,84600,83200,84400,100327,1.3205282112845138
2025-01-31,85200,85300,82300,83100,116412,-1.5402843601895735
2025-02-03,82100,83100,81400,82400,148398,-0.842358604091456
2025-02-04,82500,82800,81000,81800,141533,-0.7281553398058253
2025-02-05,81800,82200,80500,81500,130523,-0.36674816625916873
2025-02-06,81200,88200,80500,86700,617063,6.38036809815951
2025-02-07,85900,86600,78100,78600,828489,-9.342560553633218
2025-02-10,78900,79500,77500,77700,249877,-1.1450381679389312
2025-02-11,77800,78200,76400,76700,202164,-1.287001287001287
2025-02-12,77400,79300,76800,78200,213967,1.955671447196871
2025-02-13,78700,79300,77100,78200,253965,0.0
2025-02-14,79200,79200,77500,77900,186848,-0.3836317135549872
2025-02-17,78500,78600,76800,77300,166722,-0.7702182284980745
2025-02-18,77300,77700,76500,76700,216884,-0.7761966364812419
2025-02-19,76900,78200,76200,77600,302642,1.1734028683181226
2025-02-20,77600,78000,76000,76500,229277,-1.4175257731958764
2025-02-21,76600,77300,76500,76600,134171,0.130718954248366
2025-02-24,76500,76600,75200,76000,151585,-0.7832898172323759
2025-02-25,75400,76000,75000,75200,126758,-1.0526315789473684
2025-02-26,75500,76100,75000,75500,104780,0.39893617021276595
2025-02-27,75100,75400,74000,74900,157290,-0.7947019867549668
2025-02-28,74200,74300,72500,72900,243751,-2.67022696929239
2025-03-04,72900,75900,72400,75900,245879,4.11522633744856
2025-03-05,76000,76000,74700,75000,112257,-1.185770750988142
2025-03-06,75300,76000,74800,75700,100157,0.9333333333333335
2025-03-07,75700,75700,73700,73900,129111,-2.3778071334214
2025-03-10,74000,76800,73900,76400,158784,3.3829499323410013
2025-03-11,74600,75800,72900,73800,181722,-3.4031413612565444
2025-03-12,73900,75700,73500,75000,121758,1.6260162601626018
2025-03-13,76200,76300,74000,75100,236221,0.13333333333333333
2025-03-14,74800,75400,74200,74700,75026,-0.5326231691078562
2025-03-17,75300,76000,74800,75900,96795,1.6064257028112447
2025-03-18,76200,76400,75400,75900,97171,0.0
2025-03-19,76300,77100,75800,76300,110012,0.5270092226613966
2025-03-20,76400,76900,75400,75400,75121,-1.1795543905635648
2025-03-21,75100,76500,74700,76200,232135,1.0610079575596816
2025-03-24,75500,75500,74600,75300,91567,-1.1811023622047243
2025-03-25,75100,75800,74300,74800,139417,-0.6640106241699867
2025-03-26,75400,75400,73700,74100,92191,-0.9358288770053476
2025-03-27,73600,74500,73300,74100,113523,0.0
2025-03-28,74100,74200,72500,74200,110700,0.1349527665317139
2025-03-31,73100,73200,71300,72500,163609,-2.2911051212938007
2025-04-01,72300,74200,71900,74000,182394,2.0689655172413794
2025-04-02,74100,74600,72800,74000,94410,0.0
2025-04-03,72000,73800,71700,73700,163444,-0.40540540540540543
2025-04-04,72500,73200,70500,71600,213125,-2.8493894165535956
2025-04-07,69000,69300,67000,67600,181020,-5.58659217877095
2025-04-08,68600,69500,67600,68800,134640,1.7751479289940828
2025-04-09,69000,69000,66300,66900,152531,-2.761627906976744
2025-04-10,69100,70900,68600,70800,203671,5.829596412556054
