시간_시간,차익거래_매수,차익거래_매도,차익거래_순매수,비차익거래_매수,비차익거래_매도,비차익거래_순매수,전체_매수,전체_매도,전체_순매수
26.06.05,5927.0,7104.0,-1178.0,131596.0,140141.0,-8545.0,137523.0,147245.0,-9723.0
26.06.04,8194.0,6826.0,1368.0,149780.0,189029.0,-39249.0,157974.0,195855.0,-37881.0
26.06.02,6816.0,6371.0,445.0,178813.0,227502.0,-48689.0,185629.0,233873.0,-48244.0
26.06.01,5230.0,5218.0,11.0,190932.0,212453.0,-21521.0,196162.0,217671.0,-21510.0
26.05.29,9033.0,5048.0,3985.0,319116.0,313588.0,5528.0,328149.0,318636.0,9513.0
26.05.28,9082.0,9165.0,-84.0,137772.0,161822.0,-24049.0,146854.0,170987.0,-24133.0
26.05.27,6454.0,8356.0,-1902.0,148327.0,167153.0,-18826.0,154781.0,175509.0,-20728.0
26.05.26,6987.0,6105.0,882.0,116589.0,124000.0,-7411.0,123576.0,130105.0,-6529.0
26.05.22,5722.0,4930.0,792.0,90803.0,114851.0,-24048.0,96525.0,119781.0,-23256.0
26.05.21,6208.0,4814.0,1393.0,139286.0,120293.0,18993.0,145494.0,125107.0,20386.0
